seq_idx,baseline_rmsd_A,framework_rmsd_A,paired_diff_A
523,0.862428,0.989596,-0.127168
524,0.935572,0.791568,0.144004
525,0.751142,0.810859,-0.059716
526,0.792338,0.837444,-0.045106
527,1.315117,0.838899,0.476218
528,0.815564,0.738601,0.076963
529,0.809793,0.688091,0.121702
53,0.868496,0.809519,0.058977
530,0.620594,0.689795,-0.069201
531,0.726061,0.751178,-0.025117
532,0.724744,1.034394,-0.309650
533,1.123813,0.719939,0.403874
534,1.136393,0.844965,0.291429
535,0.982757,0.927923,0.054834
536,0.884269,0.858743,0.025526
537,0.823721,0.984708,-0.160987
538,0.673362,0.959485,-0.286123
539,0.826854,0.774775,0.052079
54,0.973394,0.827489,0.145905
540,0.865184,0.912409,-0.047225
541,0.859378,0.917432,-0.058054
542,0.698070,0.845977,-0.147907
543,0.836804,1.027918,-0.191114
544,0.844061,0.835956,0.008105
545,0.846774,0.736264,0.110510
546,0.931519,0.734855,0.196664
547,0.603944,1.047111,-0.443167
548,0.767650,0.962505,-0.194855
549,0.735162,0.925754,-0.190591
55,0.878750,0.843006,0.035744
550,0.769847,0.915891,-0.146043
551,0.843280,0.754437,0.088844
552,0.790456,1.010848,-0.220392
553,0.807648,1.054490,-0.246841
554,0.591401,0.598308,-0.006907
555,0.983952,1.083103,-0.099151
556,0.886162,0.817666,0.068496
557,0.755252,0.799678,-0.044426
558,1.074119,0.981199,0.092920
559,0.817123,0.628347,0.188776
56,0.779788,0.980393,-0.200605
560,1.151014,1.033657,0.117358
561,1.152437,0.914061,0.238377
562,0.994439,1.016906,-0.022467
563,0.770471,0.663014,0.107457
564,0.750777,0.705940,0.044836
565,0.828157,0.662808,0.165349
566,0.749439,0.913905,-0.164466
567,0.645799,0.894066,-0.248267
568,0.886139,0.931805,-0.045667
569,0.960521,0.942576,0.017945
57,0.564811,1.071040,-0.506229
570,0.831902,0.690021,0.141881
571,0.809334,1.002958,-0.193624
572,0.682504,0.912336,-0.229833
573,0.667951,0.699258,-0.031307
574,0.822663,0.762528,0.060135
575,0.888771,0.812874,0.075897
576,0.866974,0.793761,0.073213
577,0.811284,0.899660,-0.088376
578,0.832478,0.711875,0.120603
579,0.931251,0.622132,0.309119
58,0.717617,0.877888,-0.160271
580,0.753659,0.944112,-0.190453
581,0.692754,1.009261,-0.316507
582,0.947679,0.887192,0.060487
583,0.967555,0.834735,0.132820
584,0.939965,0.921425,0.018541
585,0.810855,0.835394,-0.024539
586,0.797741,0.741865,0.055876
587,0.950760,1.019692,-0.068932
588,0.781253,0.706711,0.074543
589,0.986797,0.798613,0.188184
59,0.688599,0.669126,0.019473
590,0.663201,0.959354,-0.296154
591,0.711518,0.818383,-0.106864
592,0.829154,1.112144,-0.282990
593,0.875567,0.909826,-0.034259
594,0.793188,0.764054,0.029135
595,0.635635,0.953005,-0.317370
596,1.075515,0.988716,0.086799
597,0.831085,0.664015,0.167070
598,0.792977,0.859864,-0.066886
599,0.924183,0.873331,0.050853
6,0.801117,0.881136,-0.080019
60,0.781814,0.956540,-0.174727
600,0.780035,0.829006,-0.048971
601,0.719297,0.968463,-0.249166
602,0.949874,0.841712,0.108162
603,0.722385,0.680435,0.041950
604,0.623174,0.958423,-0.335249
605,0.779021,0.760303,0.018718
606,0.857243,0.776041,0.081202
607,0.914811,0.716765,0.198046
608,0.848683,0.860552,-0.011869
609,0.787569,1.036514,-0.248944
61,1.137128,0.836083,0.301046
610,0.766479,1.015322,-0.248843
611,0.814754,0.943480,-0.128726
612,0.868148,1.226650,-0.358501
613,0.633801,0.807638,-0.173836
614,0.996569,0.657221,0.339348
615,0.985726,0.789845,0.195881
616,0.729625,0.705775,0.023849
617,0.831071,1.044442,-0.213370
618,0.969786,1.022483,-0.052697
619,1.041104,0.793169,0.247934
62,0.727609,0.818602,-0.090993
620,0.698630,0.785332,-0.086702
621,0.661212,0.937831,-0.276618
622,0.764477,0.696770,0.067707
623,0.918554,0.947108,-0.028554
624,0.877253,0.999237,-0.121984
625,0.740910,0.900114,-0.159204
626,0.819733,1.027330,-0.207597
627,0.782109,1.028408,-0.246299
628,0.911941,0.929962,-0.018021
629,0.707287,0.795570,-0.088282
63,0.708023,1.022322,-0.314299
630,0.886169,0.651234,0.234935
631,0.881157,0.875441,0.005716
632,0.844197,0.871505,-0.027308
633,0.758377,0.917366,-0.158989
634,0.862535,1.247815,-0.385280
635,0.679844,1.009592,-0.329748
636,0.749108,0.997274,-0.248166
637,0.845491,0.946776,-0.101285
638,0.860199,0.898798,-0.038600
639,0.680431,0.651039,0.029392
64,0.802686,0.704714,0.097973
640,0.862311,0.775335,0.086976
641,0.926975,0.854497,0.072478
642,0.730815,0.767901,-0.037086
643,0.894918,0.796511,0.098407
644,0.676544,1.009659,-0.333115
645,0.608389,0.706410,-0.098021
646,0.802563,0.805703,-0.003140
647,0.680246,0.593673,0.086573
648,0.774349,0.753468,0.020880
649,0.916794,0.954051,-0.037257
65,0.707473,0.926140,-0.218667
650,0.964653,1.157902,-0.193249
651,0.698814,1.027954,-0.329140
652,0.750274,0.962400,-0.212126
653,0.811286,1.137337,-0.326051
654,0.889617,0.866091,0.023526
655,0.922354,0.852744,0.069609
656,0.827422,0.942404,-0.114982
657,0.900250,0.978194,-0.077944
658,0.745575,0.813991,-0.068416
659,0.976856,0.758204,0.218652
66,0.898677,0.664978,0.233699
660,0.956111,0.806978,0.149133
661,1.164826,0.887961,0.276865
662,0.810529,0.925384,-0.114855
663,0.792480,0.771744,0.020736
664,0.999268,0.892803,0.106465
665,0.915730,0.999885,-0.084154
666,0.884925,0.738587,0.146339
667,0.699129,1.125230,-0.426101
668,0.942199,0.845728,0.096470
669,0.812143,0.943952,-0.131809
67,0.785562,0.948375,-0.162813
670,0.755618,1.005334,-0.249716
671,0.684300,1.045519,-0.361219
672,0.889410,1.008413,-0.119003
673,0.899184,0.670151,0.229033
674,0.839201,0.645367,0.193834
675,0.934956,0.811059,0.123897
676,0.912514,0.819891,0.092623
677,0.645572,0.782717,-0.137145
678,0.583568,0.784948,-0.201379
679,0.798014,0.893761,-0.095747
68,0.803951,1.215565,-0.411614
680,0.875259,0.816826,0.058433
681,0.755823,0.949538,-0.193715
682,0.840666,0.573086,0.267580
683,0.921630,0.709020,0.212610
684,1.157105,0.940725,0.216380
685,0.788211,0.941751,-0.153540
686,0.794419,0.622434,0.171985
687,0.680078,1.175981,-0.495903
688,0.854566,0.779246,0.075319
689,0.896480,1.021246,-0.124766
69,0.770347,0.751492,0.018856
690,0.685727,1.024996,-0.339269
691,0.773972,0.783855,-0.009882
692,0.698197,0.807372,-0.109175
693,0.749431,0.973058,-0.223627
694,1.102765,0.768064,0.334701
695,0.859222,1.204012,-0.344790
696,0.838164,0.980728,-0.142564
697,0.952445,0.917602,0.034844
698,0.701192,0.697461,0.003731
699,0.880535,1.002533,-0.121998
7,0.720733,0.860905,-0.140172
70,0.669380,0.788148,-0.118768
700,0.793531,0.834028,-0.040496
701,0.832109,0.607871,0.224239
702,0.960711,0.962435,-0.001725
703,0.794566,0.792605,0.001961
704,1.108020,1.022748,0.085271
705,0.894153,0.744676,0.149477
706,0.931508,0.847305,0.084203
707,0.953294,0.672979,0.280314
708,0.738097,0.800846,-0.062749
709,0.942918,0.902071,0.040847
71,0.757915,0.768828,-0.010913
710,0.919350,0.752791,0.166559
711,0.906533,0.954464,-0.047931
712,0.971801,0.708409,0.263393
713,0.848431,0.819567,0.028865
714,0.891271,0.849344,0.041927
715,0.946928,0.842079,0.104850
716,0.799873,0.794565,0.005308
717,0.664778,0.997868,-0.333089
718,0.730133,1.023945,-0.293812
719,0.748884,0.880706,-0.131822
72,0.877687,0.982174,-0.104488
720,0.661477,0.795297,-0.133820
721,1.003020,0.791363,0.211657
722,0.721180,0.684058,0.037122
723,0.811787,0.911439,-0.099652
724,0.920998,0.840355,0.080643
725,0.776154,0.870653,-0.094499
726,0.884503,1.129121,-0.244618
727,0.811259,0.871386,-0.060126
728,0.735543,1.000886,-0.265343
729,0.741028,0.903308,-0.162280
73,0.689563,0.949807,-0.260243
730,1.021537,0.808966,0.212571
731,1.157084,0.797918,0.359166
732,0.927306,1.085173,-0.157867
733,1.218646,0.898348,0.320297
734,0.719600,1.038079,-0.318479
735,1.014882,1.116382,-0.101500
736,0.903821,1.231266,-0.327445
737,0.658695,0.850605,-0.191910
738,1.042671,1.268098,-0.225427
739,0.717205,0.823836,-0.106631
74,0.584513,0.900155,-0.315642
740,1.054357,0.904791,0.149566
741,0.683049,1.059915,-0.376866
742,1.150821,0.894787,0.256034
743,0.646352,0.845115,-0.198763
744,0.972726,0.894291,0.078435
745,0.858257,0.785473,0.072784
